1	INTERNAT0001	International	1	1	1		2002-02-25 00:00:00.000
2	ELECTRON0002	Electronic Bike Repair & Supplies	1	1	1		2002-02-17 00:00:00.000
3	PREMIER0001	Premier Sport, Inc.	1	1	1		2002-03-05 00:00:00.000
4	COMFORT0001	Comfort Road Bicycles	1	1	1		2002-01-24 00:00:00.000
5	METROSP0001	Metro Sport Equipment	1	1	1		2002-03-01 00:00:00.000
6	GREENLA0001	Green Lake Bike Company	1	1	1		2002-03-01 00:00:00.000
7	MOUNTAIN0001	Mountain Works	1	0	1		2002-03-05 00:00:00.000
8	CONTINEN0001	Continental Pro Cycles	3	1	1		2002-01-24 00:00:00.000
9	ADATUM0001	A. Datum Corporation	1	1	1	www.adatum.com/	2002-01-24 00:00:00.000
10	TREYRE0001	Trey Research	3	1	1	www.treyresearch.net/	2002-02-25 00:00:00.000
11	ANDERSON0001	Anderson's Custom Bikes	1	1	1		2001-06-09 00:00:00.000
12	COMPETE0002	Compete, Inc.	1	1	1		2002-01-24 00:00:00.000
13	BEAUMONT0001	Beaumont Bikes	1	0	1		2002-01-23 00:00:00.000
14	LIGHTSP0001	Light Speed	1	1	1		2002-01-23 00:00:00.000
15	SUPERSAL0001	SUPERSALES INC.	1	1	1		2002-03-06 00:00:00.000
16	IMAGEMA0001	Image Makers Bike Center	1	1	1		2002-03-06 00:00:00.000
17	COMPETE0001	Compete Enterprises, Inc	1	1	1		2002-01-24 00:00:00.000
18	G&KBI0001	G & K Bicycle Corp.	1	1	1		2002-01-24 00:00:00.000
19	CYCLING0001	Cycling Master	1	1	1		2002-01-24 00:00:00.000
20	JEFFSSP0001	Jeff's Sporting Goods	1	1	1		2002-01-24 00:00:00.000
21	BUSINESS0001	Business Equipment Center	2	1	1		2002-01-23 00:00:00.000
22	VICTORY0001	Victory Bikes	5	1	1		2002-03-21 00:00:00.000
23	NORSTAN0001	Norstan Bike Hut	1	1	1		2002-03-05 00:00:00.000
24	FIRSTRA0001	First Rate Bicycles	1	1	1		2002-02-25 00:00:00.000
25	READYRE0001	Ready Rentals	1	1	1		2002-03-05 00:00:00.000
26	FIRSTNA0001	First National Sport Co.	1	1	1		2002-02-25 00:00:00.000
27	CAPITAL0001	Capital Road Cycles	1	1	1		2002-01-24 00:00:00.000
28	WIDEWOR0001	Wide World Importers	2	1	1	www.wideworldimporters.com/	2002-02-17 00:00:00.000
29	INTEGRAT0001	Integrated Sport Products	1	1	1		2002-02-17 00:00:00.000
30	CONSUMER0001	Consumer Cycles	3	1	1		2002-01-24 00:00:00.000
31	FEDERAL0001	Federal Sport	3	1	1		2002-02-25 00:00:00.000
32	ADVANCED0001	Advanced Bicycles	1	1	1		2001-05-26 00:00:00.000
33	SIGNATUR0001	Signature Cycles	2	1	1		2002-03-05 00:00:00.000
34	INDIANA0001	Indiana Bicycle Center	1	1	1		2002-03-05 00:00:00.000
35	MITCHELL0001	Mitchell Sports	1	1	1		2002-03-05 00:00:00.000
36	RECREATI0001	Recreation Place	4	1	1		2002-03-05 00:00:00.000
